age,monthly_income,loan_amount,repayment_period,credit_history,device_change_count,ip_change_count,accounts_per_phone,recent_applications,id_reuse_flag,income_age_ratio,loan_income_ratio,night_application,vpn_usage,failed_kyc_attempts,multiple_ids_flag,app_completion_seconds,same_day_multiple_apps,fraud
50,245056,174226,3,3,9,2,1,2,1,4901.12,0.711,0,1,0,0,1113,0,1
29,224057,207748,1,5,2,2,1,7,0,7726.1034,0.9272,1,0,4,0,1688,0,0
39,19799,87706,24,2,5,3,1,8,0,507.6667,4.4298,0,0,1,0,3354,0,0
61,109843,117905,3,4,5,1,3,7,0,1800.7049,1.0734,0,0,0,0,530,0,0
42,53784,29830,1,1,5,7,2,9,0,1280.5714,0.5546,0,1,1,0,2440,0,0
44,118034,373220,6,2,8,6,1,0,0,2682.5909,3.162,0,0,0,0,3249,0,0
59,205598,466342,1,8,9,1,1,2,0,3484.7119,2.2682,0,0,0,0,3552,0,0
45,59362,440961,1,5,7,3,4,7,0,1319.1556,7.4283,0,0,1,0,2567,0,1
33,58997,293753,12,2,5,6,2,0,0,1787.7879,4.9791,1,0,2,0,2957,0,0
32,186413,18401,12,1,1,0,1,6,0,5825.4062,0.0987,0,0,1,0,3463,0,0
64,281693,421945,24,4,3,7,1,3,0,4401.4531,1.4979,1,0,3,0,3382,0,0
61,221398,366624,12,9,5,0,1,6,0,3629.4754,1.6559,0,0,3,0,3070,0,0
20,265464,119278,1,4,8,7,1,3,0,13273.2,0.4493,0,1,2,0,747,0,0
54,162255,177239,18,0,1,5,2,7,0,3004.7222,1.0923,0,0,0,0,1567,0,0
24,29624,226253,12,2,5,1,1,5,0,1234.3333,7.6375,0,0,1,0,3504,0,0
38,198587,320535,12,6,9,1,3,9,0,5225.9737,1.6141,0,0,0,0,1292,0,0
26,239784,127543,1,8,9,1,1,9,0,9222.4615,0.5319,0,0,0,0,2885,0,0
56,51705,392030,6,4,9,6,3,7,0,923.3036,7.5821,0,1,3,0,3272,0,1
35,94326,95583,6,3,6,0,2,0,0,2695.0286,1.0133,0,1,1,0,2898,1,0
21,73369,190243,3,2,7,2,1,8,0,3493.7619,2.593,0,0,4,0,3417,0,0
42,206893,482312,24,9,8,3,4,8,0,4926.0238,2.3312,0,0,3,0,3251,0,1
31,276733,138719,6,8,4,3,3,5,0,8926.871,0.5013,0,0,0,0,2936,0,0
26,118012,415322,12,6,8,4,3,8,0,4538.9231,3.5193,0,0,0,0,2391,0,0
43,180858,269159,18,6,8,4,1,5,0,4206.0,1.4882,0,0,4,0,3282,0,0
19,230758,284650,3,7,6,2,4,5,0,12145.1579,1.2335,1,0,0,0,1024,0,0
37,128711,246221,24,9,1,1,4,3,0,3478.6757,1.913,0,0,2,1,3436,0,1
45,81425,25067,18,0,7,2,1,2,0,1809.4444,0.3079,0,0,4,0,473,0,0
64,20994,393963,18,3,4,6,2,2,0,328.0312,18.7655,0,0,0,0,260,0,0
24,116915,3056,12,4,7,7,2,1,0,4871.4583,0.0261,0,0,3,0,1451,0,0
61,109672,491471,1,4,1,6,1,3,0,1797.9016,4.4813,0,0,3,0,85,0,0
25,293783,255770,1,0,6,4,2,8,0,11751.32,0.8706,0,1,2,0,439,0,0
64,284349,30328,1,2,4,5,4,6,0,4442.9531,0.1067,0,0,4,0,3468,0,1
52,37930,340856,6,1,3,7,2,2,0,729.4231,8.9864,0,1,4,0,989,0,1
31,78313,53832,1,6,9,4,2,7,0,2526.2258,0.6874,0,0,0,0,1663,0,0
34,229923,43771,24,4,5,3,2,8,0,6762.4412,0.1904,0,0,0,0,3389,0,0
53,118153,98421,12,2,4,6,1,0,1,2229.3019,0.833,0,0,1,0,875,0,1
57,285460,481021,6,7,5,2,1,0,0,5008.0702,1.6851,0,0,2,0,2689,1,0
21,237911,178587,24,0,8,0,3,8,0,11329.0952,0.7506,0,0,4,0,516,0,0
19,101058,65538,1,0,0,4,2,8,0,5318.8421,0.6485,0,0,0,0,979,0,0
23,92876,462866,24,5,0,3,1,6,0,4038.087,4.9837,0,0,4,0,3529,0,0
59,90366,473194,18,0,5,1,4,2,0,1531.6271,5.2364,0,0,2,0,904,0,0
21,18403,303295,12,3,1,7,3,3,1,876.3333,16.4807,0,0,3,0,3462,0,1
46,253550,133701,12,5,7,2,4,6,1,5511.9565,0.5273,0,1,2,0,404,0,1
35,266420,346607,24,0,6,4,2,8,0,7612.0,1.301,0,0,4,0,857,0,0
43,168004,97853,3,8,5,0,4,7,0,3907.0698,0.5824,0,1,0,0,1555,0,0
61,257396,90432,12,3,3,7,3,7,0,4219.6066,0.3513,0,0,4,1,3037,0,1
51,62241,291299,18,8,8,4,2,0,0,1220.4118,4.6802,1,0,1,0,1746,1,0
27,146439,252529,12,8,6,0,1,5,0,5423.6667,1.7245,1,0,2,0,1550,0,0
53,70030,150360,3,5,6,2,4,5,0,1321.3208,2.1471,0,0,1,0,2172,0,0
31,182577,313732,12,6,4,5,4,4,0,5889.5806,1.7184,1,0,4,0,906,0,1
48,169404,219023,36,0,0,0,3,0,0,3529.25,1.2929,0,0,4,0,2869,0,0
32,212397,168157,12,4,1,0,1,2,0,6637.4062,0.7917,0,0,1,0,3492,0,0
25,110185,12251,3,2,7,3,2,3,0,4407.4,0.1112,1,1,0,0,2483,0,0
31,41404,103420,36,9,4,5,2,9,0,1335.6129,2.4978,0,0,0,0,1001,0,0
40,60182,157646,36,9,1,2,2,6,0,1504.55,2.6195,0,1,2,0,889,0,0
57,109601,272767,12,5,4,4,3,4,0,1922.8246,2.4887,0,0,1,0,2507,0,0
38,183735,218544,24,3,7,5,4,1,0,4835.1316,1.1895,0,0,2,0,3063,0,1
33,127002,317859,6,8,3,1,4,2,0,3848.5455,2.5028,0,0,2,0,413,0,0
62,230461,269267,36,6,2,7,4,0,0,3717.1129,1.1684,0,0,3,0,2854,0,0
35,89146,266205,24,3,4,2,4,5,0,2547.0286,2.9862,0,0,2,0,764,0,0
64,52997,107393,12,5,6,5,3,7,0,828.0781,2.0264,0,0,2,0,885,0,0
41,12170,255216,1,1,1,2,3,3,1,296.8293,20.9709,0,0,3,0,752,0,1
43,149375,365179,1,2,0,1,1,1,0,3473.8372,2.4447,0,0,2,0,2877,0,0
42,40187,302239,6,6,4,4,3,3,0,956.8333,7.5208,0,0,2,0,1388,1,1
62,201106,191690,36,3,6,6,4,9,0,3243.6452,0.9532,1,0,2,0,1992,0,1
58,137965,422667,12,9,7,3,2,3,0,2378.7069,3.0636,0,0,1,0,3550,0,0
46,149825,345041,18,6,7,5,1,4,0,3257.0652,2.303,0,0,3,0,1616,0,0
32,43090,82443,36,8,9,4,2,2,0,1346.5625,1.9133,0,0,0,0,643,0,0
62,258478,381149,12,4,8,1,2,8,0,4169.0,1.4746,0,1,2,0,1240,0,0
18,22509,297958,1,0,0,4,4,6,0,1250.5,13.2373,0,0,1,0,3369,1,1
42,73653,86141,3,4,6,2,3,8,0,1753.6429,1.1696,0,0,1,0,1924,0,0
24,173001,492008,6,5,9,3,3,6,0,7208.375,2.844,0,0,1,0,430,0,0
26,271186,208940,3,1,7,0,3,9,0,10430.2308,0.7705,0,0,3,0,934,0,0
41,198646,169904,18,7,5,5,4,3,0,4845.0244,0.8553,0,0,3,0,1599,0,1
18,228354,489228,12,1,9,4,4,4,0,12686.3333,2.1424,0,1,4,0,150,0,1
61,19016,141517,18,8,3,0,2,6,0,311.7377,7.442,0,1,2,0,1376,1,1
25,292166,165562,3,1,6,3,1,5,1,11686.64,0.5667,1,0,0,0,1193,0,1
41,237034,30767,12,2,2,6,3,8,0,5781.3171,0.1298,1,0,0,0,437,0,0
28,32938,47057,36,7,1,0,3,2,0,1176.3571,1.4287,0,1,4,0,2073,0,0
34,179750,212818,24,5,5,4,1,7,0,5286.7647,1.184,1,0,0,0,3594,1,0
25,265710,221767,24,0,1,1,2,9,0,10628.4,0.8346,0,0,2,0,2507,0,0
52,237320,467316,36,3,5,5,2,3,0,4563.8462,1.9691,0,0,0,0,2967,0,0
52,192877,173115,18,4,9,2,1,8,1,3709.1731,0.8975,0,0,2,0,1778,0,1
50,138058,349899,24,2,2,6,3,0,0,2761.16,2.5344,0,0,3,0,519,0,0
22,81478,291090,24,0,1,2,4,4,0,3703.5455,3.5726,0,0,3,0,1111,0,0
59,132101,168659,1,2,7,5,4,3,0,2239.0,1.2767,0,0,2,0,1718,0,0
56,196996,266508,24,8,3,0,1,4,0,3517.7857,1.3529,1,0,2,0,2167,0,0
58,210380,464070,1,1,3,2,3,5,0,3627.2414,2.2059,0,0,3,0,2095,0,0
45,237200,188160,6,0,6,5,1,0,0,5271.1111,0.7933,0,0,2,0,432,1,0
24,68745,78015,1,6,7,5,2,7,0,2864.375,1.1348,1,0,4,0,2352,0,1
26,137283,139470,1,6,8,2,2,2,0,5280.1154,1.0159,1,0,3,0,1961,0,0
25,106489,396668,3,4,9,1,4,6,0,4259.56,3.725,1,0,0,0,2751,0,0
29,36819,350352,1,1,7,0,2,6,0,1269.6207,9.5155,0,1,3,0,2718,1,1
51,52779,386352,1,0,3,7,2,8,0,1034.8824,7.3202,0,0,0,0,3554,0,0
50,218493,427409,3,4,1,1,1,6,0,4369.86,1.9562,0,1,0,0,2688,0,0
40,70584,473617,1,9,9,1,1,7,0,1764.6,6.71,0,0,4,0,3373,0,0
41,151245,26345,24,3,4,3,3,3,0,3688.9024,0.1742,0,0,3,0,2136,0,0
54,253815,349039,36,8,6,0,1,9,0,4700.2778,1.3752,0,0,3,0,2887,1,0
52,295180,206407,1,4,1,6,3,3,0,5676.5385,0.6993,0,0,4,0,159,0,0
61,259957,453412,6,9,3,1,4,9,0,4261.5902,1.7442,0,0,3,0,922,0,1
57,76356,155125,1,1,5,4,1,7,0,1339.5789,2.0316,0,0,0,0,2118,0,0
39,150364,257624,1,3,7,2,1,3,0,3855.4872,1.7133,0,0,2,0,1001,0,0
44,8052,494644,6,8,9,0,1,3,0,183.0,61.4312,0,1,4,0,3554,0,0
52,203910,130022,36,7,5,3,4,9,0,3921.3462,0.6376,0,1,4,0,3035,0,1
18,151692,477436,3,2,5,1,1,2,0,8427.3333,3.1474,0,0,2,0,1027,0,0
52,35461,399231,24,7,5,4,2,2,0,681.9423,11.2583,0,0,0,0,1541,0,0
54,287894,229273,36,1,3,2,1,3,1,5331.3704,0.7964,0,0,2,0,3398,0,1
64,14472,402873,1,2,2,2,3,1,0,226.125,27.8381,1,0,3,0,2518,0,0
31,117036,314260,24,4,0,6,2,2,0,3775.3548,2.6852,0,1,2,0,833,0,0
20,193674,154023,18,9,1,7,1,1,0,9683.7,0.7953,0,0,4,0,242,0,0
18,292667,360743,24,9,1,4,1,5,0,16259.2778,1.2326,0,0,1,0,164,0,0
22,166838,230351,3,7,9,0,4,2,0,7583.5455,1.3807,0,0,3,0,674,0,0
43,71060,289665,3,0,6,2,3,1,0,1652.5581,4.0763,0,0,2,0,473,0,0
31,276223,317575,36,3,5,2,2,8,0,8910.4194,1.1497,1,0,2,0,1101,0,0
56,144471,273875,1,0,7,2,2,7,0,2579.8393,1.8957,0,0,0,0,930,0,0
44,283676,150816,6,0,8,7,4,4,0,6447.1818,0.5316,0,0,3,0,1378,0,1
26,48162,326238,3,4,4,7,2,8,0,1852.3846,6.7738,0,0,0,0,393,0,0
32,278497,281567,6,5,2,5,2,4,1,8703.0312,1.011,0,0,4,0,3066,0,1
32,117313,377756,36,0,3,1,3,4,0,3666.0312,3.2201,0,0,4,0,714,0,1
43,33477,411784,36,5,7,1,1,3,0,778.5349,12.3005,0,1,0,0,1389,0,0
59,160642,441627,18,4,2,2,1,2,0,2722.7458,2.7491,0,0,3,0,2288,0,0
30,91373,4934,6,3,1,3,2,9,0,3045.7667,0.054,0,0,0,0,1311,0,0
49,174176,77945,36,9,6,7,3,8,0,3554.6122,0.4475,0,0,0,0,1682,0,0
56,199442,252554,36,4,3,5,4,3,0,3561.4643,1.2663,1,0,3,0,2655,0,1
49,9551,393587,36,7,7,2,1,6,0,194.9184,41.209,0,1,4,0,1812,0,1
21,73359,97946,12,8,0,0,2,4,0,3493.2857,1.3352,0,0,1,0,2116,0,0
47,148988,97344,36,1,7,6,2,6,0,3169.9574,0.6534,0,1,0,0,2936,0,0
54,131150,140244,36,5,4,6,3,7,0,2428.7037,1.0693,0,0,0,0,3232,1,0
40,177517,28358,6,2,1,5,3,7,0,4437.925,0.1597,0,0,2,0,2062,0,0
56,296829,198385,3,1,0,3,3,9,0,5300.5179,0.6683,0,0,3,0,2975,0,0
62,112967,130774,6,0,5,7,2,5,0,1822.0484,1.1576,0,0,2,0,1784,0,0
32,99455,282907,6,3,8,0,3,4,0,3107.9688,2.8446,0,0,4,0,1949,0,0
60,263835,442889,12,7,8,7,2,1,0,4397.25,1.6787,0,0,2,0,2310,0,0
46,180405,494938,12,2,8,7,1,7,0,3921.8478,2.7435,0,0,3,0,3563,1,0
53,244646,490922,1,4,3,4,2,4,0,4615.9623,2.0067,1,0,0,0,862,0,0
30,194937,86997,3,9,5,4,2,7,0,6497.9,0.4463,0,0,0,0,3383,0,0
49,66192,242830,36,4,9,1,1,5,0,1350.8571,3.6686,0,0,1,0,407,0,0
24,196758,331119,1,4,5,5,3,7,0,8198.25,1.6829,0,0,4,0,1455,0,1
39,240161,139876,36,8,4,1,3,0,0,6157.9744,0.5824,0,0,0,0,2724,0,0
45,293137,441810,36,7,1,1,2,8,1,6514.1556,1.5072,0,0,2,0,1626,0,1
19,166564,210820,12,7,6,7,2,8,0,8766.5263,1.2657,1,0,1,0,671,0,0
59,157053,88189,36,0,0,5,1,2,0,2661.9153,0.5615,0,0,1,0,2332,0,0
62,291287,88507,36,0,5,6,3,4,0,4698.1774,0.3038,0,0,4,0,1976,0,1
23,196349,330669,6,1,4,4,1,6,0,8536.913,1.6841,0,0,1,0,3274,0,0
45,112044,467620,12,7,4,5,2,7,1,2489.8667,4.1735,1,0,3,0,2301,1,1
45,186062,100248,18,9,7,0,2,6,0,4134.7111,0.5388,1,1,2,0,2746,0,0
61,133406,25604,6,0,8,3,1,2,0,2186.9836,0.1919,1,0,1,0,418,1,0
61,74351,379729,1,3,6,1,1,6,0,1218.8689,5.1072,0,0,0,0,2362,0,0
37,186071,416351,6,8,9,6,4,0,0,5028.9459,2.2376,0,0,2,0,1069,0,0
47,239085,490296,18,1,7,4,4,4,0,5086.9149,2.0507,0,0,4,0,598,0,1
28,238883,169990,12,2,1,1,3,8,0,8531.5357,0.7116,0,0,1,0,2986,1,0
45,75309,130716,3,5,1,6,1,1,0,1673.5333,1.7357,0,0,2,0,2251,0,0
42,166805,182921,36,9,7,7,3,2,0,3971.5476,1.0966,0,0,0,0,638,0,0
56,124156,162919,24,2,5,2,4,8,0,2217.0714,1.3122,0,0,1,0,506,0,0
50,26576,437990,3,3,7,3,3,2,0,531.52,16.4807,0,0,4,0,1622,0,1
18,8320,454925,3,8,8,0,4,7,0,462.2222,54.6785,0,0,4,0,2805,0,1
44,146822,11680,36,8,8,1,1,5,0,3336.8636,0.0796,0,0,4,0,3550,0,0
30,108002,114508,12,9,5,2,1,6,0,3600.0667,1.0602,1,0,1,0,3283,0,0
58,189535,96619,3,4,7,2,3,4,0,3267.8448,0.5098,0,0,1,0,1666,0,0
20,31572,56037,18,6,1,6,1,9,0,1578.6,1.7749,0,0,1,0,940,0,0
56,285092,100969,36,8,7,3,3,6,0,5090.9286,0.3542,0,0,0,0,1059,0,0
23,121528,112115,12,7,2,4,3,9,0,5283.8261,0.9225,0,0,4,0,2190,1,1
25,174898,59914,3,6,0,4,4,9,0,6995.92,0.3426,0,1,2,0,2274,0,0
44,94051,158381,36,7,6,1,2,2,0,2137.5227,1.684,0,0,2,0,1902,0,0
26,295011,108255,24,4,0,1,3,4,0,11346.5769,0.367,1,0,1,0,762,1,0
54,196303,11349,1,4,0,4,4,5,0,3635.2407,0.0578,0,0,4,0,2619,0,0
50,227428,469295,12,4,0,0,4,8,0,4548.56,2.0635,0,0,4,0,579,0,0
59,262412,455036,12,0,3,0,4,3,0,4447.661,1.7341,0,0,1,0,1684,0,0
61,208305,207068,6,5,3,2,2,7,0,3414.8361,0.9941,0,0,0,0,2897,0,0
41,280107,428769,36,4,9,3,1,7,0,6831.878,1.5307,0,0,2,0,1149,0,0
32,54434,29525,3,7,5,0,3,9,0,1701.0625,0.5424,0,0,2,0,1251,0,0
49,71617,269092,1,7,9,1,3,5,0,1461.5714,3.7574,1,0,3,0,1641,1,1
49,122569,15498,36,1,2,7,1,7,1,2501.4082,0.1264,0,0,1,0,2106,0,1
41,212384,413207,24,5,9,6,1,4,0,5180.0976,1.9456,0,0,2,0,1605,0,0
58,86494,222582,18,9,5,7,4,0,0,1491.2759,2.5734,0,0,2,0,532,0,0
29,224977,495150,12,9,6,0,4,3,0,7757.8276,2.2009,0,0,0,0,1709,1,0
56,82225,60790,18,5,0,3,1,5,0,1468.3036,0.7393,0,1,1,0,523,0,0
19,87867,401876,18,2,5,1,3,8,0,4624.5789,4.5737,0,1,1,0,778,0,1
20,173600,27245,18,0,9,3,1,3,0,8680.0,0.1569,0,0,2,0,2050,0,0
54,260669,132310,6,6,0,4,1,5,0,4827.2037,0.5076,1,0,2,0,2823,0,0
34,95748,414136,36,9,6,3,2,9,0,2816.1176,4.3253,0,0,4,0,3483,1,1
19,259265,47659,18,4,9,3,2,4,1,13645.5263,0.1838,0,0,3,0,956,0,1
19,169404,389127,3,9,4,3,4,8,0,8916.0,2.297,0,0,2,0,2270,0,0
45,134529,75874,3,4,9,1,4,9,0,2989.5333,0.564,1,0,1,0,380,0,0
40,269395,305661,1,7,3,3,3,5,0,6734.875,1.1346,0,0,4,0,2855,0,1
54,163099,127618,1,4,0,3,1,2,0,3020.3519,0.7825,0,0,0,0,3047,0,0
49,102382,76885,24,4,8,6,1,1,0,2089.4286,0.751,0,0,1,0,1167,0,0
50,14583,47350,18,0,6,7,2,2,0,291.66,3.2469,0,0,4,0,267,0,0
18,55387,340323,18,1,1,7,3,5,0,3077.0556,6.1445,0,0,1,0,872,0,0
36,290248,255251,6,4,3,6,1,9,0,8062.4444,0.8794,1,0,1,0,606,0,0
19,17224,422490,36,6,3,5,3,7,0,906.5263,24.5291,0,0,1,0,608,0,1
61,232444,308157,18,2,7,5,2,7,0,3810.5574,1.3257,0,0,2,0,1660,0,0
43,271285,238275,18,0,1,6,1,4,1,6308.9535,0.8783,1,0,2,0,3050,1,1
49,159422,40913,36,1,4,2,2,0,0,3253.5102,0.2566,1,1,3,0,2418,0,0
23,141149,236237,18,2,9,7,2,0,0,6136.913,1.6737,0,0,0,1,80,0,1
49,51015,308963,12,8,7,1,2,6,0,1041.1224,6.0563,0,0,0,0,1877,0,0
21,176929,83168,12,7,5,5,1,1,0,8425.1905,0.4701,0,0,2,0,2121,0,0
28,237268,355824,6,3,3,3,3,3,0,8473.8571,1.4997,0,0,1,0,2253,0,0
34,195912,472073,6,7,4,0,1,9,0,5762.1176,2.4096,0,0,1,0,915,0,0
55,10577,496843,3,8,1,3,2,4,1,192.3091,46.9739,0,1,4,0,1630,1,1
41,287146,357936,6,2,4,0,4,7,0,7003.561,1.2465,0,0,4,0,1532,1,1
22,55711,196982,24,5,2,7,3,9,0,2532.3182,3.5358,0,1,4,0,2353,0,1
51,44451,155557,3,7,2,6,4,8,0,871.5882,3.4995,0,0,0,0,2346,0,0
23,185175,397076,36,9,6,7,2,0,0,8051.087,2.1443,0,0,0,0,1062,0,0
39,39831,50875,18,6,2,6,1,8,0,1021.3077,1.2773,0,0,4,0,1611,0,0
28,254402,146991,6,8,3,4,3,4,0,9085.7857,0.5778,0,1,4,0,632,0,1
33,236376,493089,24,6,6,4,4,3,0,7162.9091,2.086,1,0,4,0,425,0,1
50,249942,337091,6,0,2,6,1,9,0,4998.84,1.3487,0,0,0,0,2611,0,0
26,100119,10586,6,8,9,6,3,4,0,3850.7308,0.1057,0,0,2,0,930,0,0
23,248466,52986,3,4,9,1,2,8,0,10802.8696,0.2133,0,0,1,0,417,1,0
33,228936,352992,36,5,1,1,2,7,0,6937.4545,1.5419,0,1,2,0,2640,0,0
46,291542,286199,36,1,9,7,2,9,0,6337.8696,0.9817,1,0,0,0,1043,0,0
20,66554,429106,3,1,6,6,1,4,0,3327.7,6.4475,1,0,0,0,1109,0,0
37,55755,457297,1,3,4,4,1,9,0,1506.8919,8.2019,1,0,4,0,3306,0,1
53,158412,29807,3,3,0,1,2,4,1,2988.9057,0.1882,0,0,2,0,1897,0,1
36,68884,217992,3,4,9,6,2,0,0,1913.4444,3.1646,0,0,0,0,1583,0,0
43,22482,310321,12,6,7,0,3,8,0,522.8372,13.8031,0,0,3,0,2466,0,1
20,59225,488677,6,0,2,0,4,2,0,2961.25,8.2512,0,0,2,0,3149,1,0
36,194921,69625,3,9,6,2,3,0,0,5414.4722,0.3572,0,0,2,0,3556,0,0
37,79854,408458,6,3,5,7,4,4,0,2158.2162,5.1151,0,0,0,0,3347,0,0
49,46256,319461,6,8,9,1,1,9,0,944.0,6.9064,0,0,1,0,295,0,0
24,245617,434194,12,7,5,1,3,2,0,10234.0417,1.7678,0,0,0,0,919,0,0
58,113721,279577,6,2,7,2,1,5,0,1960.7069,2.4584,1,0,2,0,2383,0,0
50,86110,34282,24,5,3,3,1,6,0,1722.2,0.3981,0,1,3,0,1976,0,0
57,118606,77519,3,8,3,0,4,3,0,2080.807,0.6536,0,0,2,0,674,0,0
56,19650,241346,6,7,2,3,4,3,0,350.8929,12.2822,0,1,0,0,3596,0,0
35,182190,306722,1,6,0,5,3,1,0,5205.4286,1.6835,0,1,4,0,2576,0,0
57,33930,131843,1,6,9,2,3,1,0,595.2632,3.8857,0,0,1,0,3373,1,0
18,221779,109333,12,0,2,5,3,6,0,12321.0556,0.493,0,0,2,1,3129,0,1
28,265102,464423,24,4,0,6,4,4,0,9467.9286,1.7519,0,1,3,0,3245,0,1
45,278945,156205,36,6,5,7,2,4,0,6198.7778,0.56,1,0,3,0,1149,0,0
42,56360,51317,36,1,7,5,2,1,1,1341.9048,0.9105,0,0,3,0,3360,0,1
40,152631,128878,3,5,2,7,4,6,0,3815.775,0.8444,0,1,1,0,2783,0,1
48,299478,109745,12,1,3,1,3,1,0,6239.125,0.3665,0,0,2,0,972,0,0
47,241545,392374,1,2,4,3,2,4,0,5139.2553,1.6244,0,0,4,0,2406,0,0
59,18288,66950,24,0,6,1,1,4,1,309.9661,3.6609,1,0,0,0,641,0,1
52,158470,60612,3,2,5,6,2,2,0,3047.5,0.3825,1,0,2,0,3550,0,0
24,212302,65873,6,6,1,7,2,1,0,8845.9167,0.3103,0,0,2,0,1315,0,0
33,279335,245469,3,4,6,7,4,2,0,8464.697,0.8788,0,1,4,0,3571,0,1
43,285195,116792,18,3,7,2,4,4,0,6632.4419,0.4095,0,0,1,0,3089,0,0
19,66715,218850,3,7,0,4,2,5,0,3511.3158,3.2804,0,0,0,0,2720,0,0
18,15737,194074,6,7,5,1,1,3,0,874.2778,12.3323,1,0,0,0,3483,0,0
29,70140,446724,18,0,8,5,1,6,0,2418.6207,6.369,0,0,0,0,325,0,0
22,161323,494936,36,8,6,6,3,1,0,7332.8636,3.068,0,0,2,0,3457,0,0
54,187047,170451,24,8,4,5,2,5,0,3463.8333,0.9113,0,0,4,0,2568,0,0
49,272291,387958,12,1,9,3,2,8,0,5556.9592,1.4248,0,0,4,0,385,0,0
26,55508,16231,24,1,9,3,1,9,0,2134.9231,0.2924,1,0,1,0,1055,0,0
58,286787,350529,3,7,8,2,4,4,0,4944.6034,1.2223,1,0,4,0,957,1,1
52,108535,42163,36,5,1,3,2,3,0,2087.2115,0.3885,1,0,4,0,907,0,0
36,203360,385024,12,2,6,0,1,8,0,5648.8889,1.8933,0,1,0,0,724,0,0
33,63959,425892,3,1,8,1,2,5,0,1938.1515,6.6588,0,0,1,0,1935,0,0
20,203208,350736,1,4,1,6,4,3,0,10160.4,1.726,0,0,4,0,790,0,0
37,196812,369708,1,7,9,6,3,0,1,5319.2432,1.8785,0,0,4,0,2921,0,1
41,117255,255467,6,5,5,5,4,8,0,2859.878,2.1787,0,0,4,0,970,0,1
50,91322,479699,36,2,8,0,4,9,0,1826.44,5.2528,0,0,4,0,1059,0,1
41,6132,56535,36,8,2,2,1,2,0,149.561,9.2197,0,0,0,0,1925,0,0
28,174331,374096,24,7,7,5,1,5,1,6226.1071,2.1459,0,0,2,1,3350,0,1
25,232684,485792,1,9,4,0,4,0,0,9307.36,2.0878,0,0,1,0,204,0,0
53,264427,178182,18,5,6,6,1,5,0,4989.1887,0.6738,0,0,2,0,2082,0,0
55,113835,179050,18,0,2,0,4,2,0,2069.7273,1.5729,0,0,0,0,2121,0,0
57,147003,222890,36,1,7,6,4,2,0,2579.0,1.5162,0,0,2,0,684,1,0
37,263228,485953,36,3,1,5,2,6,0,7114.2703,1.8461,0,0,4,0,2854,0,0
52,78169,204441,3,1,7,1,4,8,0,1503.25,2.6154,0,0,1,0,471,0,0
42,265529,398968,36,2,1,1,3,5,0,6322.119,1.5025,1,0,4,0,1844,0,0
52,258608,25507,12,7,6,4,1,0,0,4973.2308,0.0986,0,0,1,0,1073,0,0
42,239385,479921,18,8,1,7,3,8,0,5699.6429,2.0048,1,0,2,0,2179,0,0
