age,monthly_income,loan_amount,repayment_period,interest_rate,employment_type,credit_history,past_default_flag,previous_loan_count,on_time_repayment_count,debt_to_income_ratio,payment_to_income_ratio,days_to_first_payment,partial_payments,missed_payments,defaulted
45,84703,106600,36,0.1115,0,6,0,4,3,0.035,0.0389,24,3,22,0
62,31513,488374,6,0.2314,2,0,1,8,8,2.5829,3.1807,17,3,4,1
48,262923,51896,6,0.2881,1,5,0,3,2,0.0329,0.0424,38,3,0,0
24,170866,459101,3,0.2422,1,4,1,4,3,0.8956,1.1125,25,4,1,1
63,13814,346048,6,0.2656,0,8,0,0,0,4.1751,5.2841,45,3,5,1
44,284671,256705,1,0.2561,3,7,1,1,0,0.9018,1.1327,43,3,1,1
34,70105,253843,1,0.2758,1,6,0,9,8,3.6209,4.6196,44,1,1,1
24,206262,155166,12,0.2745,0,2,0,0,0,0.0627,0.0799,3,0,7,0
32,47485,489418,12,0.269,0,7,0,0,0,0.8589,1.0899,19,3,2,0
57,160902,301084,6,0.2319,2,4,0,1,0,0.3119,0.3842,58,2,6,0
29,208628,20343,36,0.1434,1,0,0,9,7,0.0027,0.0031,56,0,16,0
25,111689,425943,24,0.2605,0,1,0,5,5,0.1589,0.2003,34,1,2,0
19,16901,312982,6,0.1111,0,8,1,7,6,3.0864,3.4293,51,3,4,1
61,56921,33375,1,0.2727,0,7,0,8,6,0.5863,0.7462,39,2,0,0
55,286789,148449,24,0.2118,1,6,0,5,3,0.0216,0.0261,25,1,9,0
43,146853,205364,12,0.271,0,7,0,5,5,0.1165,0.1481,4,3,10,0
38,251964,81826,18,0.2263,3,5,0,7,7,0.018,0.0221,10,3,2,0
30,135760,259704,18,0.2734,2,7,0,7,5,0.1063,0.1353,17,3,5,0
36,236019,355683,3,0.2638,0,6,0,3,3,0.5023,0.6348,55,1,0,0
35,61249,108668,18,0.2647,0,4,0,1,0,0.0986,0.1247,15,0,7,0
19,241864,77765,6,0.1722,1,4,1,7,6,0.0536,0.0628,45,1,3,0
62,245661,30647,36,0.1385,0,0,1,6,4,0.0035,0.0039,33,0,7,1
59,220483,323908,36,0.2564,0,3,0,3,1,0.0408,0.0513,41,0,35,0
45,44924,489536,12,0.1815,0,9,0,2,1,0.9081,1.0729,58,1,2,0
40,151368,303895,3,0.1965,2,9,0,8,6,0.6692,0.8007,54,4,1,0
21,96656,42340,24,0.2079,1,0,0,8,6,0.0183,0.022,43,0,19,0
21,152667,334049,12,0.1328,3,4,0,8,6,0.1823,0.2066,44,1,9,0
29,264952,21097,6,0.2142,0,6,1,8,6,0.0133,0.0161,52,4,0,0
39,51924,373550,6,0.2058,0,7,0,2,1,1.199,1.4457,51,2,3,1
43,206801,234844,36,0.1802,0,3,0,4,4,0.0315,0.0372,24,4,35,0
57,203768,414371,36,0.1655,0,5,0,9,7,0.0565,0.0658,23,3,24,0
59,242399,187997,6,0.1009,1,0,0,1,0,0.1293,0.1423,58,3,0,0
52,107772,469751,6,0.2168,0,9,0,7,6,0.7265,0.8839,47,4,3,1
21,165416,228428,24,0.1536,0,2,0,3,2,0.0575,0.0664,50,3,12,0
29,38382,368060,24,0.1674,0,3,0,6,5,0.3996,0.4664,11,0,19,0
21,48479,372420,6,0.1281,2,6,1,0,0,1.2803,1.4443,13,4,1,1
48,13935,220115,18,0.2586,0,4,0,7,7,0.8775,1.1045,32,3,3,0
24,236251,344795,3,0.1827,0,0,0,8,8,0.4865,0.5753,5,3,3,1
27,153615,223791,36,0.1589,2,2,1,2,0,0.0405,0.0469,57,1,1,1
41,164789,128071,3,0.18,3,5,0,7,7,0.2591,0.3057,15,0,1,0
32,172179,281479,36,0.1182,1,6,0,7,6,0.0454,0.0508,46,4,29,0
56,28216,265036,36,0.1559,0,1,0,7,6,0.2609,0.3016,38,4,34,0
37,183750,394227,36,0.1241,0,5,0,8,8,0.0596,0.067,20,3,5,0
24,36406,116936,12,0.2651,0,9,1,2,1,0.2677,0.3386,53,0,11,1
30,34707,476640,18,0.1984,0,1,0,8,7,0.763,0.9143,31,4,5,1
45,265754,16324,12,0.2047,0,5,0,5,4,0.0051,0.0062,16,0,2,0
56,242105,81463,6,0.291,0,6,1,2,1,0.0561,0.0724,10,0,6,1
35,24861,43767,36,0.2998,0,3,1,8,6,0.0489,0.0636,10,0,15,0
64,278183,355366,12,0.185,0,3,1,9,9,0.1065,0.1261,19,3,4,0
28,213924,331639,36,0.1204,2,8,0,9,8,0.0431,0.0482,30,3,3,0
53,127828,428219,36,0.2766,1,5,0,5,5,0.0931,0.1188,24,4,36,0
53,287206,182248,24,0.1274,0,3,0,2,1,0.0264,0.0298,23,0,11,0
19,210148,98300,6,0.2065,0,7,0,2,1,0.078,0.0941,21,2,6,0
63,240270,119494,1,0.204,0,2,0,6,5,0.4973,0.5988,22,3,0,0
34,189381,18588,24,0.2956,0,8,0,8,8,0.0041,0.0053,28,2,3,0
23,165213,191968,3,0.2711,0,0,0,1,0,0.3873,0.4923,45,4,1,1
58,177080,23359,36,0.2491,2,2,0,8,8,0.0037,0.0046,26,4,15,0
63,131222,51510,6,0.1975,1,2,0,6,6,0.0654,0.0783,54,4,1,0
40,222773,424054,18,0.1947,0,1,0,7,5,0.1058,0.1263,42,0,2,0
64,277133,444535,18,0.1475,0,3,0,1,0,0.0891,0.1023,17,4,13,0
33,246486,403735,6,0.1656,3,0,1,7,5,0.273,0.3182,36,2,5,1
58,138754,189580,18,0.1025,1,5,0,6,6,0.0759,0.0837,49,2,1,0
43,93220,415967,6,0.2342,1,7,0,4,2,0.7437,0.9179,6,3,2,1
63,183158,217182,3,0.1738,1,8,0,9,8,0.3953,0.464,15,0,3,0
18,241485,151062,3,0.2581,0,5,0,0,0,0.2085,0.2623,13,0,3,0
53,222642,437230,18,0.2164,0,6,0,8,7,0.1091,0.1327,21,0,12,0
47,295975,28483,6,0.2112,1,2,0,4,4,0.016,0.0194,56,0,1,0
19,161687,353491,36,0.1847,0,4,0,0,0,0.0607,0.0719,2,2,27,0
37,100989,444462,3,0.2238,2,4,1,5,3,1.467,1.7953,51,2,1,1
22,58413,43660,24,0.2602,0,5,0,2,2,0.0311,0.0392,47,2,1,0
48,40874,196423,24,0.1351,2,6,1,6,5,0.2002,0.2273,47,4,2,1
25,249884,76424,6,0.1409,1,0,0,0,0,0.051,0.0582,2,4,4,0
47,231620,206346,12,0.1643,2,9,0,2,0,0.0742,0.0864,8,1,5,0
56,235008,6324,6,0.2326,0,6,0,4,4,0.0045,0.0055,58,3,0,0
19,110631,31310,12,0.2267,0,0,0,3,2,0.0236,0.0289,59,2,9,0
30,235304,239308,18,0.2784,0,5,1,9,7,0.0565,0.0722,58,2,8,0
21,159544,58623,6,0.1585,0,8,1,8,8,0.0612,0.0709,28,2,3,0
62,79914,412098,12,0.1129,3,9,1,2,0,0.4297,0.4782,26,3,7,1
25,89278,247930,24,0.1882,2,4,0,8,6,0.1157,0.1375,43,2,13,0
56,8181,282211,36,0.2224,1,1,0,7,5,0.9582,1.1713,18,4,35,1
42,91451,442162,1,0.1385,2,7,0,1,1,4.835,5.5048,42,0,1,1
24,173330,410326,1,0.2426,1,8,0,2,2,2.3673,2.9416,45,0,1,1
31,34557,272271,12,0.2224,2,6,0,7,5,0.6566,0.8026,39,4,8,1
46,221449,59019,1,0.2953,0,4,0,2,2,0.2665,0.3452,44,3,0,0
62,19153,150512,1,0.1616,0,1,0,7,7,7.8584,9.1286,46,2,0,0
38,145400,411248,18,0.1287,3,1,1,4,4,0.1571,0.1774,6,1,14,1
54,294782,444038,18,0.2648,1,8,0,0,0,0.0837,0.1058,34,0,7,0
50,167983,487713,18,0.2722,1,2,1,2,1,0.1613,0.2052,28,1,9,1
58,130444,104778,1,0.1356,1,3,0,4,4,0.8032,0.9122,33,2,0,0
42,5632,88170,12,0.1531,2,5,0,6,5,1.3046,1.5043,36,1,11,1
63,277327,99759,36,0.2338,0,9,0,9,7,0.01,0.0123,2,4,14,0
31,132489,435197,18,0.1203,1,8,1,8,8,0.1825,0.2044,55,3,7,1
26,130360,428466,12,0.2349,0,6,0,6,4,0.2739,0.3382,39,3,4,0
32,183198,243489,18,0.1167,2,8,1,1,0,0.0738,0.0825,43,4,14,1
24,67848,90987,1,0.2433,1,0,0,6,4,1.341,1.6673,18,1,1,1
19,73118,426670,6,0.1914,0,0,0,9,9,0.9726,1.1587,55,4,0,1
48,77441,422840,3,0.2621,0,1,0,3,3,1.8201,2.2972,39,4,0,0
24,127018,308236,6,0.2668,2,7,1,4,4,0.4045,0.5124,21,4,6,1
58,28706,283938,24,0.2824,1,0,0,3,1,0.4121,0.5285,4,0,23,1
28,50230,164748,6,0.2773,2,3,1,4,3,0.5466,0.6983,39,3,0,1
30,12131,129334,18,0.1984,0,6,0,7,6,0.5923,0.7098,34,1,9,0
30,220141,73342,24,0.2795,2,1,1,4,4,0.0139,0.0178,13,0,1,0
43,157088,151450,36,0.155,1,2,0,3,1,0.0268,0.0309,12,4,29,0
60,122296,8121,18,0.289,0,4,0,9,9,0.0037,0.0048,54,2,1,0
25,86302,303556,3,0.2232,2,2,0,5,3,1.1725,1.4341,35,3,0,1
31,85481,69183,12,0.1232,2,8,0,6,6,0.0674,0.0758,37,4,12,0
62,294469,394674,3,0.2856,1,1,1,6,6,0.4468,0.5744,31,4,1,1
19,249742,70210,3,0.1917,0,5,1,5,3,0.0937,0.1117,1,4,2,1
59,65596,201613,36,0.1248,0,6,0,3,3,0.0854,0.096,42,0,29,0
32,287299,272635,3,0.2705,2,6,0,9,8,0.3163,0.4019,13,4,2,0
41,28456,257894,3,0.2681,0,2,0,5,4,3.021,3.8309,22,4,3,1
51,153481,365176,12,0.2873,0,5,0,6,4,0.1983,0.2552,10,3,5,0
21,243430,53560,36,0.2366,0,5,0,1,0,0.0061,0.0076,2,4,12,0
35,13535,370033,36,0.2239,0,9,1,0,0,0.7594,0.9295,4,0,15,1
42,107581,218830,6,0.2612,2,0,0,8,7,0.339,0.4276,36,1,4,0
64,205496,2902,3,0.1988,1,8,0,2,1,0.0047,0.0056,23,1,2,0
41,98124,366012,1,0.29,0,1,0,3,2,3.7301,4.8117,48,4,1,1
23,22481,348801,6,0.2533,0,5,0,2,0,2.5859,3.2409,32,4,6,1
51,154298,62723,24,0.1061,1,9,0,3,3,0.0169,0.0187,43,2,7,0
55,181592,209911,18,0.1484,1,6,0,1,0,0.0642,0.0737,1,2,5,0
20,118298,440372,3,0.1335,1,7,0,8,6,1.2409,1.4065,38,3,2,1
36,193138,450036,36,0.1035,0,0,0,8,6,0.0647,0.0714,38,2,0,0
64,32582,77472,24,0.2489,1,3,1,1,1,0.0991,0.1237,54,1,6,0
63,205332,265772,12,0.141,2,0,1,7,6,0.1079,0.1231,55,2,6,1
53,33424,126541,36,0.1525,1,9,0,4,3,0.1052,0.1212,43,1,36,0
36,221617,475180,6,0.2077,0,1,0,7,5,0.3574,0.4316,57,2,2,0
45,12696,259966,18,0.2881,1,8,1,6,5,1.1376,1.4653,51,1,17,1
64,161290,481883,18,0.1466,0,5,1,1,1,0.166,0.1903,33,3,4,0
27,84251,271955,3,0.1095,0,9,0,9,7,1.076,1.1937,46,4,2,1
35,31341,384844,3,0.2553,0,1,0,8,7,4.0931,5.138,6,0,0,0
21,82077,454020,6,0.2016,2,2,0,1,0,0.9219,1.1078,51,1,4,1
29,63702,369465,24,0.2119,1,4,0,9,7,0.2417,0.2929,40,0,20,0
44,289071,192938,3,0.1326,1,7,1,8,6,0.2225,0.252,20,1,0,0
46,71566,86874,6,0.1126,0,7,0,5,4,0.2023,0.2251,8,0,5,0
29,20556,27736,3,0.298,0,8,1,5,4,0.4498,0.5838,41,4,1,1
28,88648,482528,36,0.2495,0,1,0,5,4,0.1512,0.1889,20,3,11,0
21,180433,288985,24,0.125,0,9,0,0,0,0.0667,0.0751,59,0,0,0
63,296392,223965,18,0.1343,1,6,0,2,2,0.042,0.0476,33,1,17,0
41,247018,121420,18,0.1276,3,4,0,2,2,0.0273,0.0308,24,3,1,0
43,139433,154676,3,0.1204,1,6,0,0,0,0.3698,0.4143,34,1,1,0
45,270646,81274,6,0.2937,0,4,0,3,1,0.05,0.0648,47,4,3,0
64,20083,485624,18,0.2499,1,5,0,6,4,1.3434,1.679,46,3,6,1
21,271895,441541,6,0.2334,0,5,0,8,8,0.2707,0.3338,33,2,0,0
53,6400,6909,3,0.2075,0,3,1,0,0,0.3598,0.4345,46,0,0,0
32,12754,284403,6,0.2639,1,5,0,4,2,3.7165,4.6975,47,3,4,1
39,6561,225585,24,0.2192,0,9,1,0,0,1.4326,1.7467,2,0,13,1
41,119438,260523,18,0.2856,0,6,1,1,0,0.1212,0.1558,43,2,15,1
41,261700,163843,12,0.2921,0,3,0,2,1,0.0522,0.0674,39,1,1,0
54,58862,190345,36,0.1054,2,3,1,6,6,0.0898,0.0993,54,4,13,0
22,110127,188002,18,0.2435,0,0,0,1,0,0.0948,0.1179,48,3,7,0
23,222217,302766,12,0.2281,0,1,0,1,0,0.1135,0.1394,28,4,12,0
27,146212,145065,6,0.1993,0,2,0,9,7,0.1654,0.1983,34,4,3,0
20,231968,481021,3,0.2067,0,2,0,5,4,0.6912,0.8341,53,2,2,1
55,157402,374155,3,0.197,1,9,0,4,3,0.7924,0.9485,26,3,2,1
51,130348,256959,12,0.1155,3,5,1,0,0,0.1643,0.1833,15,3,1,1
23,33313,78537,12,0.2351,2,7,1,0,0,0.1965,0.2427,38,3,4,1
27,265852,11283,3,0.2799,1,3,1,1,0,0.0141,0.0181,20,2,2,1
33,125987,402104,6,0.1518,0,1,0,1,0,0.5319,0.6127,6,4,5,1
46,224461,416577,18,0.1955,1,4,0,6,6,0.1031,0.1233,13,1,0,0
20,93132,390011,36,0.2755,0,1,0,1,0,0.1163,0.1484,31,4,26,1
28,65348,457838,36,0.2683,0,9,0,1,0,0.1946,0.2468,51,2,30,0
54,241271,299856,18,0.197,0,5,0,8,7,0.069,0.0827,25,4,0,0
21,65526,267815,3,0.2476,0,3,0,6,4,1.3624,1.6997,23,3,3,1
21,14006,397293,3,0.1935,2,1,0,2,1,9.4553,11.2846,2,3,1,1
41,230433,276585,18,0.2602,2,7,1,8,6,0.0667,0.084,56,1,12,0
45,204772,108107,12,0.1681,0,9,0,2,1,0.044,0.0514,51,3,3,0
52,256345,65227,24,0.2753,1,8,0,2,1,0.0106,0.0135,51,2,14,0
55,97189,111862,36,0.2391,2,0,0,9,8,0.032,0.0396,28,3,25,0
41,106232,487337,1,0.1965,0,2,0,7,7,4.5875,5.4891,38,2,1,1
39,62506,49246,12,0.2087,0,1,0,7,6,0.0657,0.0794,37,4,7,0
43,72475,125838,1,0.2601,0,2,0,9,9,1.7363,2.188,57,1,0,0
35,257704,242314,6,0.118,2,9,0,4,4,0.1567,0.1752,40,4,3,0
20,278989,41191,3,0.1102,1,5,0,0,0,0.0492,0.0546,39,1,0,0
63,250825,35939,3,0.1875,1,6,0,4,4,0.0478,0.0567,40,1,2,0
28,250140,478898,18,0.2436,2,3,0,1,0,0.1064,0.1323,5,2,16,0
26,43870,184643,6,0.2688,2,9,0,7,6,0.7015,0.89,6,4,6,1
50,122330,304609,12,0.1544,1,8,1,5,5,0.2075,0.2396,51,2,10,1
43,270058,84748,1,0.1624,1,3,0,4,4,0.3138,0.3648,15,3,0,0
53,112406,486704,12,0.1021,1,9,1,1,1,0.3608,0.3976,31,3,9,1
21,298039,312682,12,0.132,0,6,0,6,5,0.0874,0.099,18,4,2,0
19,50343,276828,18,0.2513,0,9,0,5,4,0.3055,0.3823,54,0,6,0
25,18218,242792,1,0.2678,2,3,0,7,7,13.327,16.8965,29,2,0,0
24,14039,231758,1,0.2177,0,8,0,4,4,16.5082,20.1022,52,3,1,1
53,225793,24445,24,0.1602,0,9,0,1,1,0.0045,0.0052,36,0,5,0
51,87670,238861,1,0.2439,2,6,0,2,2,2.7245,3.3892,2,3,1,1
57,110746,470499,6,0.294,1,6,0,9,7,0.7081,0.9162,24,4,1,0
36,277947,131689,18,0.2943,0,7,0,4,4,0.0263,0.0341,54,0,15,0
46,131436,31131,24,0.1175,1,2,1,2,2,0.0099,0.011,51,1,22,0
56,44321,350996,12,0.236,1,4,0,8,7,0.66,0.8157,45,4,5,1
23,159160,217560,18,0.2868,0,4,1,1,0,0.0759,0.0977,16,1,11,0
27,142655,323632,24,0.1094,0,8,0,3,2,0.0945,0.1049,48,2,22,0
58,165389,476998,6,0.2591,0,0,0,9,7,0.4807,0.6052,55,2,0,0
59,278379,131917,24,0.1044,0,9,0,4,2,0.0197,0.0218,51,2,22,0
22,26476,332001,3,0.18,0,1,0,4,3,4.1799,4.9324,1,4,3,1
41,132632,218404,24,0.2253,0,0,0,9,8,0.0686,0.0841,56,1,16,0
58,221817,143891,3,0.1224,2,0,0,1,1,0.2162,0.2427,36,2,1,0
39,113809,252606,1,0.1819,0,4,0,1,1,2.2196,2.6232,18,0,0,0
43,61131,260300,6,0.2038,1,0,0,5,4,0.7097,0.8543,20,3,6,1
54,10073,245127,6,0.2552,0,4,0,4,3,4.0558,5.0907,59,1,1,0
62,179993,252457,3,0.154,1,2,0,8,8,0.4675,0.5395,58,1,2,0
46,40246,477214,18,0.1538,0,4,1,9,7,0.6587,0.7601,33,3,4,1
53,176416,6129,18,0.2513,2,2,0,8,8,0.0019,0.0024,2,4,1,0
37,136181,74941,6,0.1454,3,7,0,2,1,0.0917,0.1051,16,2,1,0
35,232616,4570,36,0.1353,2,6,0,3,1,0.0005,0.0006,1,1,28,0
57,274069,94902,3,0.1363,1,2,1,9,7,0.1154,0.1311,47,1,2,1
62,145530,476762,18,0.2555,0,0,0,8,8,0.182,0.2285,30,1,0,0
58,32773,241781,1,0.2612,3,3,0,8,7,7.3774,9.3046,46,0,1,1
32,47415,171749,36,0.1789,0,8,0,8,8,0.1006,0.1186,10,4,0,0
32,258187,481340,24,0.1301,0,1,0,4,4,0.0777,0.0878,37,0,3,0
41,113136,378287,12,0.1542,0,0,0,5,4,0.2786,0.3216,19,2,8,0
46,252257,315462,3,0.2654,0,7,1,7,7,0.4169,0.5275,26,3,1,1
34,115448,334027,18,0.1792,1,0,0,6,5,0.1607,0.1895,13,0,5,0
64,266463,99615,12,0.1663,1,2,1,6,6,0.0312,0.0363,39,3,10,1
42,145722,375614,6,0.1198,0,4,1,8,6,0.4296,0.4811,25,3,6,1
33,125995,346016,36,0.165,1,3,0,9,7,0.0763,0.0889,8,1,36,0
34,5351,407488,24,0.2558,2,2,0,7,5,3.173,3.9847,54,3,13,1
64,32864,282669,12,0.1317,0,4,0,3,1,0.7168,0.8112,59,1,11,1
64,110271,199004,36,0.2643,0,2,0,3,3,0.0501,0.0634,27,0,7,0
38,188594,189219,6,0.1421,0,0,1,7,5,0.1672,0.191,44,3,0,1
61,218327,262535,12,0.1674,2,7,0,0,0,0.1002,0.117,37,2,9,0
44,132567,48677,18,0.2143,0,1,0,9,9,0.0204,0.0248,1,4,16,0
22,53331,267661,6,0.1452,3,0,0,7,5,0.8365,0.9579,38,3,6,1
39,222453,220327,6,0.1874,2,3,0,0,0,0.1651,0.196,31,0,1,0
50,271796,224016,24,0.2041,0,8,0,3,3,0.0343,0.0414,35,1,16,0
57,14317,290114,18,0.1406,2,3,0,2,1,1.1258,1.2841,23,3,14,1
19,131949,204725,24,0.106,1,7,0,8,8,0.0646,0.0715,40,2,24,0
52,217396,496585,6,0.1957,0,5,0,8,8,0.3807,0.4552,16,2,2,0
60,98479,152766,18,0.2393,3,8,0,7,7,0.0862,0.1068,20,2,17,0
36,268600,198843,1,0.1808,2,3,1,6,6,0.7403,0.8741,13,0,0,1
57,232318,196108,6,0.2922,1,9,0,1,1,0.1407,0.1818,14,1,4,0
44,41643,79038,36,0.144,1,7,1,7,5,0.0527,0.0603,7,4,30,1
57,241821,270370,3,0.2245,2,0,0,1,1,0.3727,0.4564,5,2,2,0
53,286625,30017,36,0.1367,2,8,1,9,7,0.0029,0.0033,27,1,31,0
56,90480,167143,1,0.1502,1,5,1,4,3,1.8473,2.1248,46,4,1,1
19,16702,436707,18,0.1922,1,7,0,4,2,1.4526,1.7318,41,0,8,0
58,98000,481577,6,0.116,1,6,0,1,0,0.819,0.914,23,2,3,1
35,191136,249388,1,0.2322,0,7,1,9,8,1.3048,1.6078,32,4,0,1
63,197088,200764,24,0.2325,1,2,0,5,4,0.0424,0.0523,10,2,9,0
40,46106,476323,3,0.114,0,5,0,1,0,3.4437,3.8362,54,0,0,0
43,230506,102617,24,0.206,0,0,0,6,4,0.0185,0.0224,38,2,7,0
28,244577,179155,36,0.2172,2,9,0,3,3,0.0203,0.0248,33,4,15,0
18,105297,140652,18,0.2966,0,5,0,2,0,0.0742,0.0962,3,1,8,0
53,137873,405911,12,0.1673,1,4,1,6,6,0.2453,0.2864,27,4,10,1
37,235523,400110,6,0.1187,0,2,0,8,8,0.2831,0.3168,27,3,2,0
48,184269,209367,18,0.1341,2,5,1,5,5,0.0631,0.0716,44,1,14,0
25,241744,374739,36,0.2829,2,5,0,6,4,0.0431,0.0552,2,2,31,0
57,296640,225164,1,0.2931,2,3,1,7,7,0.759,0.9816,29,3,0,1
41,288242,348130,3,0.2174,2,3,0,2,0,0.4026,0.4901,20,0,1,0
37,287231,266798,24,0.1813,0,3,1,5,4,0.0387,0.0457,19,0,16,0
32,258566,336838,36,0.148,2,6,0,5,3,0.0362,0.0415,5,1,36,0
47,54730,271861,12,0.1989,2,7,1,6,4,0.4139,0.4963,6,3,10,1
37,54265,38913,1,0.2139,0,4,0,7,5,0.7171,0.8705,46,4,1,1
55,250043,427212,12,0.1225,0,0,1,3,3,0.1424,0.1598,56,4,5,1
19,145639,36663,6,0.2627,0,5,1,5,4,0.042,0.053,58,0,6,1
23,33389,218572,6,0.1176,2,9,1,7,7,1.091,1.2193,6,4,4,1
59,79106,444797,1,0.2954,0,5,0,9,7,5.6228,7.2837,13,1,1,1
35,290262,309418,24,0.1593,2,2,0,4,2,0.0444,0.0515,49,1,6,0
53,13044,365322,18,0.2512,0,5,0,3,1,1.5559,1.9468,48,4,8,1
31,93685,450211,36,0.2304,1,4,0,9,7,0.1335,0.1643,58,0,0,0
43,68650,242389,12,0.138,1,3,1,8,8,0.2942,0.3348,5,2,5,0
51,229740,151375,36,0.2963,1,5,0,1,0,0.0183,0.0237,15,2,27,0
47,227394,242740,24,0.2099,2,5,0,9,9,0.0445,0.0538,46,4,20,0
24,208487,494241,6,0.1171,2,1,0,7,7,0.3951,0.4414,56,0,5,0
47,146201,299673,3,0.264,3,2,0,0,0,0.6832,0.8636,19,2,2,1
35,101518,161481,24,0.2467,1,0,1,5,5,0.0663,0.0826,14,2,17,1
39,204886,444210,18,0.1734,1,9,0,8,8,0.1204,0.1413,28,1,9,0
34,298247,397295,12,0.2413,0,2,0,2,1,0.111,0.1378,50,2,10,0
48,22732,241376,24,0.2811,1,0,0,7,6,0.4424,0.5668,8,1,24,0
