age,monthly_income,loan_amount,repayment_period,credit_history,debt_to_income_ratio,past_default_flag,previous_loan_count,on_time_repayment_count,fraud_score,recent_application_count,kyc_face_verified,ocr_id_verified,id_reuse_flag,approved
23,10288,273882,36,5,0.7395,1,2,0,0.0675,0,0,1,0,0
59,120824,6041,12,0,0.0042,0,2,1,0.2146,1,1,0,0,0
21,116799,51606,12,9,0.0368,0,1,0,0.0574,3,0,1,1,0
46,10846,483006,12,7,3.7111,0,4,2,0.1864,3,0,1,0,0
35,1680,188437,3,6,37.3883,0,1,0,0.143,3,1,1,0,0
43,93497,303671,18,0,0.1804,0,9,8,0.1759,0,1,1,0,1
61,418352,272394,18,2,0.0362,1,3,1,0.046,4,1,0,0,0
51,75692,355492,1,2,4.6966,0,9,9,0.1321,2,1,1,0,0
27,37421,157760,36,2,0.1171,0,0,0,0.1814,1,1,1,0,1
53,2707,151862,12,6,4.675,1,1,0,0.1411,0,1,1,0,0
31,98038,264090,3,5,0.8979,0,0,0,0.0307,3,1,1,0,1
48,2563,299942,1,1,117.0277,0,1,0,0.1551,0,1,0,0,0
32,48285,337007,18,4,0.3878,0,3,2,0.1704,1,1,1,0,1
25,7860,126473,36,5,0.447,1,0,0,0.0433,2,1,1,0,0
31,171543,247552,36,1,0.0401,0,5,5,0.1226,1,0,1,0,1
40,298550,133208,1,0,0.4462,0,0,0,0.184,0,0,0,0,0
57,90088,163987,12,3,0.1517,0,2,1,0.3409,3,1,1,0,1
38,46921,223546,36,3,0.1323,1,1,0,0.214,3,1,1,0,0
33,19746,329234,36,3,0.4632,0,1,0,0.0089,4,1,1,0,0
62,7675,417637,36,0,1.5115,0,3,3,0.102,4,1,1,0,0
35,261569,472985,6,2,0.3014,0,8,7,0.1361,2,1,1,0,1
64,9537,454132,12,6,3.9682,0,2,2,0.3023,2,1,1,0,0
41,8609,31893,12,3,0.3087,1,5,5,0.086,4,1,1,0,0
43,132116,65124,3,1,0.1643,0,9,9,0.1302,4,1,1,0,1
42,103913,37171,6,7,0.0596,1,2,2,0.2092,1,0,1,0,1
62,93946,150710,36,0,0.0446,0,9,9,0.0863,1,0,1,0,1
58,149670,379198,24,8,0.1056,0,4,2,0.1589,3,0,1,0,0
46,25564,198556,6,4,1.2945,1,8,8,0.0318,3,1,1,0,0
32,27450,230310,6,1,1.3984,0,2,0,0.2017,4,1,1,0,0
62,101134,435279,18,3,0.2391,0,7,5,0.1721,1,1,1,0,1
18,120940,25193,1,2,0.2083,1,5,3,0.2516,4,1,0,0,0
42,77085,335887,18,6,0.2421,0,7,6,0.2225,4,1,1,0,1
24,32862,272382,24,5,0.3454,0,1,0,0.2432,2,0,1,0,0
26,8809,401635,6,8,7.599,1,8,8,0.1457,4,1,1,0,0
41,124554,21410,3,3,0.0573,0,0,0,0.1462,3,1,0,0,1
18,2687,138028,24,2,2.1404,0,2,1,0.0703,2,0,1,0,0
61,70828,343305,36,6,0.1346,0,3,1,0.0575,1,0,1,0,1
25,131884,24753,12,5,0.0156,0,5,4,0.2523,3,1,1,0,1
41,438221,73858,36,4,0.0047,0,3,1,0.2036,0,1,1,0,1
28,61104,331294,12,9,0.4518,0,1,0,0.0928,1,1,0,0,1
34,55934,241899,18,6,0.2403,0,2,2,0.3577,0,1,1,0,1
25,129420,419755,36,4,0.0901,1,2,2,0.0816,3,1,1,0,1
52,21050,200879,24,8,0.3976,0,5,5,0.0208,1,1,1,0,1
52,23484,10029,18,3,0.0237,0,4,2,0.1938,0,1,1,0,1
50,77648,57536,3,0,0.247,1,4,4,0.1489,0,1,1,0,1
22,197681,388482,12,9,0.1638,0,3,3,0.1809,1,1,1,0,1
59,46323,334358,36,4,0.2005,0,3,2,0.2077,4,1,1,1,0
56,101332,247641,18,0,0.1358,0,8,7,0.1077,3,1,0,1,0
58,229754,479324,36,0,0.058,0,6,5,0.0894,3,1,1,0,1
45,25315,311133,1,0,12.2905,0,7,7,0.0634,2,1,1,0,0
24,62968,357775,18,0,0.3157,0,3,2,0.1047,1,0,1,0,0
26,9384,82107,18,7,0.4861,0,2,1,0.1207,3,0,1,0,0
25,70781,175234,6,1,0.4126,0,0,0,0.0462,0,1,1,0,1
29,18869,151790,1,8,8.0444,1,8,7,0.316,1,1,0,0,0
51,197007,344546,1,6,1.7489,1,8,6,0.1203,0,1,0,0,0
50,22971,396414,36,2,0.4794,0,1,0,0.0647,1,0,0,0,0
40,158025,272551,3,8,0.5749,0,3,1,0.043,0,0,1,0,0
41,180636,206680,36,3,0.0318,0,3,2,0.3535,0,1,1,0,1
54,71974,214746,6,6,0.4973,0,0,0,0.0694,1,1,1,0,1
52,78949,137289,1,2,1.739,1,1,0,0.1303,2,1,1,0,0
61,188336,491012,6,4,0.4345,0,7,7,0.0764,0,1,1,0,1
57,82965,370340,6,3,0.744,0,5,3,0.148,1,1,1,0,1
39,21423,76947,12,5,0.2993,1,0,0,0.2112,4,1,1,0,0
44,120935,296282,36,8,0.0681,0,6,5,0.197,4,0,1,0,1
52,181877,35500,1,4,0.1952,0,6,6,0.0366,2,1,1,0,1
18,87254,6259,12,0,0.006,0,5,5,0.122,1,1,1,0,1
52,70979,489336,36,4,0.1915,1,7,5,0.0698,2,0,1,0,0
54,140544,80652,18,4,0.0319,0,4,4,0.0961,0,0,1,0,1
64,362240,50953,36,8,0.0039,0,1,1,0.072,4,1,1,0,1
31,97238,23783,18,7,0.0136,0,3,1,0.0879,2,1,1,0,1
20,90720,42949,12,4,0.0395,1,7,7,0.1464,0,1,1,1,0
18,71805,415371,18,4,0.3214,0,7,7,0.0875,4,0,1,0,0
22,436203,33389,12,1,0.0064,0,4,2,0.0461,2,1,1,0,1
43,155708,188231,36,8,0.0336,0,5,3,0.1018,0,1,0,0,1
31,65467,427399,3,3,2.1762,1,8,6,0.3041,3,1,1,0,0
56,201607,294192,6,6,0.2432,0,9,9,0.1467,4,1,1,0,1
44,7661,426337,3,9,18.5501,0,9,8,0.0575,0,1,1,0,0
26,45916,290685,1,5,6.3308,0,9,7,0.125,3,1,0,0,0
32,142461,37105,3,4,0.0868,0,1,0,0.3299,2,1,0,0,1
32,283818,127492,3,4,0.1497,0,4,4,0.1089,3,1,1,0,1
43,1686,415858,18,6,13.703,0,8,7,0.4302,4,0,0,0,0
59,12199,107331,24,1,0.3666,1,2,1,0.2674,1,1,1,0,0
30,126581,432041,36,8,0.0948,0,5,5,0.0488,2,1,1,0,1
49,22043,368415,24,1,0.6964,0,3,1,0.046,3,1,1,0,0
56,84022,231996,12,8,0.2301,1,3,3,0.1827,0,1,1,0,1
49,168936,453095,1,3,2.6821,1,2,1,0.1789,1,1,1,0,0
21,75628,423136,24,9,0.2331,0,9,7,0.116,1,0,1,0,1
47,190929,187206,18,9,0.0545,0,0,0,0.2584,2,1,0,0,1
54,60131,172833,1,5,2.8743,0,7,6,0.0925,3,1,1,0,0
40,128259,52944,6,0,0.0688,0,4,3,0.0986,4,1,1,0,1
56,14210,32027,12,4,0.1878,0,1,0,0.0478,3,1,1,0,0
62,84000,124452,18,5,0.0823,0,0,0,0.0441,3,0,1,0,0
32,99179,490232,3,8,1.6476,1,0,0,0.0934,2,1,1,0,0
60,174617,204994,36,8,0.0326,0,3,1,0.0989,2,1,0,0,1
46,477802,366341,6,8,0.1278,0,3,3,0.392,0,1,1,0,1
53,38880,153552,3,2,1.3165,0,5,3,0.1967,4,1,1,0,0
30,99579,169696,24,3,0.071,0,6,5,0.0865,2,0,1,0,1
49,9491,70191,36,7,0.2054,0,0,0,0.1776,0,0,1,0,0
24,147574,353548,1,7,2.3957,0,9,7,0.3813,1,1,1,0,0
39,87098,50028,6,1,0.0957,0,1,0,0.1231,0,0,1,0,0
45,150376,490881,36,7,0.0907,0,2,2,0.2291,4,1,0,0,1
19,130978,54445,36,6,0.0115,1,8,6,0.3596,0,0,1,1,0
59,64625,82999,18,8,0.0714,0,3,3,0.2581,0,1,1,0,1
62,32106,489832,3,4,5.0856,1,5,3,0.1059,2,1,1,0,0
23,132359,308336,24,1,0.0971,0,1,1,0.2491,4,1,1,0,1
45,90010,332988,3,4,1.2332,1,1,0,0.361,0,1,1,0,0
45,20588,150318,1,1,7.3012,0,1,0,0.0415,3,1,1,0,0
61,86326,427602,1,4,4.9533,1,4,2,0.1277,0,1,1,0,0
61,136658,51111,24,8,0.0156,0,8,8,0.1171,1,1,1,0,1
37,24004,209078,12,6,0.7258,0,5,4,0.1761,1,1,0,0,1
47,130018,119423,24,6,0.0383,0,8,8,0.1456,0,1,1,0,1
28,40792,442476,12,0,0.9039,0,5,3,0.0228,0,1,0,0,0
45,69645,172954,24,8,0.1035,0,8,7,0.2373,3,0,1,0,1
42,56232,60557,24,5,0.0449,1,4,4,0.0971,0,1,0,0,1
56,69766,455134,1,6,6.5237,0,0,0,0.1978,2,1,1,0,0
50,8688,144260,12,1,1.3837,0,5,4,0.1294,4,1,1,0,0
18,2925,273813,24,0,3.9005,0,3,1,0.1517,3,1,1,0,0
44,199272,405659,36,3,0.0565,0,8,7,0.0401,0,1,1,0,1
30,127406,117856,3,8,0.3083,0,5,3,0.1467,2,1,1,0,1
58,128693,282773,1,8,2.1973,0,0,0,0.0129,0,1,1,0,0
20,255253,421170,36,2,0.0458,1,5,5,0.3288,3,1,0,0,0
56,25567,270379,36,0,0.2938,0,2,2,0.3023,3,1,1,0,1
23,53379,76450,6,1,0.2387,1,2,2,0.0824,1,1,0,0,0
25,52840,182385,1,8,3.4516,0,6,4,0.2306,1,0,1,0,0
44,248844,43849,24,8,0.0073,1,1,0,0.181,0,1,1,0,1
26,269596,314336,18,0,0.0648,0,8,7,0.3888,4,1,1,0,1
54,19791,226155,18,8,0.6348,0,8,6,0.3277,2,1,1,0,1
50,51202,377115,36,0,0.2046,0,6,4,0.4045,1,1,1,0,1
59,76032,12593,36,9,0.0046,0,8,7,0.1414,1,1,1,0,1
61,103662,41928,1,3,0.4045,0,5,3,0.3521,4,1,0,1,0
41,10856,28885,6,4,0.4435,0,8,7,0.1701,3,0,1,0,0
32,90700,55801,1,7,0.6152,0,9,7,0.0299,0,1,1,0,1
49,70609,403507,6,4,0.9524,0,1,0,0.2605,0,1,1,0,1
49,105045,177050,24,4,0.0702,0,4,4,0.0656,2,1,0,0,1
41,1287,188542,3,3,48.8324,0,5,3,0.1777,4,0,0,0,0
58,345516,458323,3,8,0.4422,1,5,4,0.3246,4,1,1,0,1
29,174746,387712,6,7,0.3698,0,3,2,0.1085,4,1,1,0,1
56,374243,385315,36,8,0.0286,0,3,3,0.1152,3,0,1,0,1
19,136332,70668,12,6,0.0432,0,4,3,0.0867,4,1,1,0,1
20,73843,229291,3,6,1.035,0,5,5,0.2179,3,1,1,0,0
54,105331,132916,18,4,0.0701,1,7,5,0.2899,0,1,1,0,1
34,139786,55929,1,9,0.4001,1,9,9,0.0898,3,0,1,0,0
19,102328,295013,24,0,0.1201,1,0,0,0.1566,0,0,1,0,0
19,24,229124,12,5,795.5694,1,7,6,0.1912,2,1,1,0,0
45,37075,297555,36,9,0.2229,1,1,1,0.2961,4,1,1,0,1
40,97015,322821,18,5,0.1849,0,6,5,0.1052,2,1,0,0,1
54,24304,166103,1,9,6.8344,1,3,2,0.1357,4,1,1,0,0
49,144851,298846,18,3,0.1146,1,7,6,0.2273,2,1,0,0,1
50,4706,389709,12,1,6.9009,0,5,4,0.0547,1,1,1,0,0
18,150449,23523,6,0,0.0261,0,4,3,0.0953,1,1,1,0,1
36,119578,368622,1,2,3.0827,0,9,9,0.3137,3,1,1,0,0
19,137957,492735,18,8,0.1984,1,9,8,0.2687,2,1,1,0,1
61,123654,5776,24,0,0.0019,0,4,4,0.3972,4,1,1,0,1
43,123227,324145,36,4,0.0731,0,3,3,0.0781,0,1,0,0,1
49,54328,412940,24,9,0.3167,0,2,2,0.0378,3,0,1,0,1
23,176515,188930,18,5,0.0595,0,2,1,0.0137,3,1,1,0,1
49,2776,146172,36,8,1.4627,1,2,1,0.0977,1,1,1,0,0
21,107630,43467,12,0,0.0337,1,6,6,0.4776,2,1,1,0,1
28,101818,445458,12,4,0.3646,1,7,6,0.2213,2,1,0,0,1
34,294198,323866,36,0,0.0306,0,7,7,0.2493,3,1,1,0,1
55,58714,100420,24,1,0.0713,1,1,0,0.0845,1,1,1,0,0
41,95722,375028,24,1,0.1632,0,2,1,0.2844,0,1,1,0,1
22,40230,80468,36,4,0.0556,0,1,1,0.0824,1,1,1,0,1
51,107554,153790,12,9,0.1192,0,5,4,0.0828,2,1,0,0,1
23,191724,178086,6,3,0.1548,0,2,2,0.1551,0,1,1,0,1
39,41500,379993,3,5,3.0522,1,5,5,0.2305,3,0,1,0,0
28,4731,151712,18,4,1.7815,0,3,2,0.2859,0,1,1,0,0
33,66915,323456,6,1,0.8056,1,9,8,0.0726,3,1,1,0,0
50,176449,108644,18,8,0.0342,0,9,9,0.1091,1,1,1,1,0
26,106951,20560,24,9,0.008,0,5,5,0.0495,0,1,1,0,1
23,65886,400596,6,7,1.0134,0,2,2,0.1777,4,1,1,0,0
33,186352,48756,24,8,0.0109,0,4,2,0.3964,2,1,1,0,1
46,119697,260876,36,5,0.0605,1,7,6,0.1582,3,1,0,0,1
20,144501,357509,36,4,0.0687,0,2,0,0.1794,0,1,0,0,1
37,29497,30579,24,4,0.0432,0,8,8,0.2124,0,0,1,0,1
53,147888,96736,24,1,0.0273,1,8,6,0.0151,4,1,1,0,0
36,133915,130984,1,3,0.9781,0,6,6,0.1797,1,0,1,0,0
43,107019,348409,3,1,1.0852,0,7,5,0.0366,4,1,1,0,1
20,124017,160609,24,1,0.054,0,8,6,0.1508,0,1,1,0,1
36,382161,253756,18,7,0.0369,0,0,0,0.2558,2,0,1,0,1
37,120153,239708,12,3,0.1663,1,6,5,0.0226,0,1,1,0,1
49,38783,380765,3,3,3.2726,0,9,7,0.0601,0,0,1,0,0
24,125034,90661,18,6,0.0403,0,2,2,0.0804,0,1,1,0,1
58,99242,137727,1,3,1.3878,0,5,4,0.1267,4,1,1,0,0
50,138066,453667,24,8,0.1369,0,8,6,0.401,4,1,1,0,1
57,100865,200056,18,8,0.1102,0,9,9,0.2061,3,1,1,0,1
56,140170,342865,18,2,0.1359,0,7,6,0.3117,3,1,0,0,0
35,134883,149283,18,5,0.0615,0,1,0,0.0143,3,1,0,0,1
57,27809,154352,3,6,1.8501,0,3,3,0.375,0,1,1,0,0
18,242658,34971,24,2,0.006,0,4,4,0.145,3,0,0,0,1
28,53428,389327,18,3,0.4048,0,9,7,0.1358,3,1,1,0,1
45,143611,105923,12,0,0.0615,0,5,5,0.1598,1,1,1,0,1
42,157929,7798,24,8,0.0021,1,6,4,0.0997,4,1,0,0,0
40,13761,18228,6,6,0.2208,0,3,3,0.2711,3,1,1,0,0
48,17093,167811,12,9,0.8181,0,3,1,0.305,4,1,0,0,0
47,59498,231644,1,6,3.8933,0,4,3,0.2148,2,1,1,0,0
59,131251,442936,36,8,0.0937,1,8,8,0.1726,1,1,1,0,1
52,220317,95845,3,5,0.145,1,8,6,0.1215,2,1,1,0,1
24,160150,202352,6,7,0.2106,0,0,0,0.0592,4,1,1,0,1
33,387209,41503,3,4,0.0357,0,4,4,0.1325,4,1,1,0,1
43,32718,277692,3,7,2.8291,0,4,3,0.101,2,1,1,0,0
19,31705,109125,18,9,0.1912,1,6,4,0.2423,3,1,1,0,0
18,102618,131942,12,0,0.1071,0,7,6,0.2437,1,1,1,0,1
29,4284,463282,6,2,18.0237,0,2,2,0.1241,4,1,1,1,0
22,11659,169925,18,3,0.8097,0,0,0,0.093,0,1,1,0,0
54,10645,75531,6,8,1.1826,0,1,1,0.1024,1,1,1,0,0
49,61622,287847,24,7,0.1946,0,5,3,0.203,2,1,1,0,1
26,66185,419743,24,7,0.2642,0,5,4,0.1651,4,1,1,1,0
58,125136,232640,12,1,0.1549,0,4,4,0.1924,4,1,1,0,1
52,123368,97966,18,6,0.0441,0,4,2,0.4747,2,0,1,0,1
36,143498,66555,6,2,0.0773,0,8,7,0.1693,0,1,1,0,1
33,3331,193054,36,5,1.6099,0,6,6,0.5502,0,1,1,0,0
20,12220,51933,24,3,0.1771,0,5,4,0.1437,4,1,1,0,1
37,224781,455394,18,5,0.1126,1,6,4,0.0371,3,1,1,1,0
41,48717,61475,3,3,0.4206,0,2,0,0.281,0,1,1,0,1
50,132202,439946,24,2,0.1387,0,6,6,0.1864,0,1,1,0,1
41,8128,24241,1,1,2.9824,1,2,1,0.0895,3,0,1,0,0
28,124525,382666,6,3,0.5122,0,7,6,0.2157,0,1,1,0,1
25,322728,335976,36,9,0.0289,0,9,7,0.1912,3,1,0,1,0
53,202434,213941,24,1,0.044,0,9,8,0.0806,2,1,1,0,1
55,159649,173588,12,6,0.0906,0,8,7,0.2869,1,0,1,0,0
57,8818,281772,6,0,5.3257,0,2,1,0.0845,1,1,1,1,0
37,99263,282511,1,0,2.8461,0,6,6,0.3698,2,1,1,0,0
52,67107,274899,6,4,0.6827,1,7,5,0.1659,0,1,1,0,1
42,32563,233101,6,6,1.1931,0,2,2,0.0815,1,1,1,0,1
52,85729,447967,24,0,0.2177,0,5,3,0.1476,2,1,1,1,0
42,30701,219358,6,3,1.1908,1,6,6,0.165,1,1,1,0,0
46,143331,145097,12,4,0.0844,0,3,3,0.056,0,1,1,0,1
35,211289,136959,1,1,0.6482,0,5,5,0.4855,3,1,1,0,0
63,12848,61675,24,6,0.2,0,6,5,0.1139,2,1,1,0,1
35,30957,473410,1,3,15.2925,0,6,4,0.1542,1,1,1,0,0
19,61008,50348,12,7,0.0688,0,0,0,0.0593,0,1,0,0,1
52,4378,71762,6,0,2.7319,0,1,0,0.2602,1,0,1,0,0
33,128828,102132,6,9,0.1321,0,0,0,0.196,0,1,1,0,1
58,138852,374479,24,0,0.1124,0,8,7,0.3231,0,1,0,0,1
53,147698,201596,1,0,1.3649,0,6,6,0.1439,0,1,1,0,0
50,133176,449100,6,3,0.562,0,6,4,0.0852,0,1,1,0,1
21,53311,415879,36,0,0.2167,0,2,0,0.118,2,1,1,0,1
50,8056,85389,3,4,3.5331,0,4,4,0.1058,3,1,1,0,0
31,18809,281158,6,5,2.4913,0,1,1,0.0118,2,1,0,0,0
38,24708,15239,36,6,0.0171,1,4,4,0.1827,1,1,1,0,1
37,24465,430262,6,7,2.9311,1,7,7,0.1978,2,1,1,0,0
25,163304,19422,18,7,0.0066,1,9,8,0.1062,2,0,1,0,1
24,196338,416032,1,1,2.119,0,2,0,0.0755,1,1,1,0,0
20,473456,290199,1,3,0.6129,0,3,2,0.0329,3,1,1,0,1
34,415107,186245,36,6,0.0125,0,7,5,0.0527,2,0,1,0,1
50,165387,269614,3,8,0.5434,1,1,1,0.2496,0,0,1,1,0
29,8486,352141,3,8,13.8322,0,0,0,0.2022,2,0,1,0,0
39,180059,177606,3,2,0.3288,0,2,2,0.0872,1,1,1,0,1
39,203688,464513,1,6,2.2805,0,1,1,0.2072,3,1,1,0,0
63,93672,22603,18,3,0.0134,0,9,8,0.1939,2,1,1,0,1
47,32300,258261,18,8,0.4442,0,1,0,0.1792,2,1,1,0,1
55,75289,454738,12,6,0.5033,0,3,2,0.0046,1,1,1,0,1
55,110617,450369,1,5,4.0714,0,5,4,0.0978,4,1,1,0,0
62,25360,231763,12,8,0.7616,1,9,8,0.1511,4,0,1,0,0
25,36424,247401,6,6,1.132,1,9,8,0.0145,2,0,1,0,0
44,12162,376594,3,7,10.3216,1,4,2,0.209,0,1,0,0,0
44,4690,22996,12,4,0.4086,1,3,1,0.1815,2,1,1,1,0
51,4474,303122,24,3,2.823,0,7,6,0.1181,4,1,1,0,0
38,27300,99878,12,0,0.3049,1,4,2,0.1481,2,1,0,0,0
47,82861,258096,1,7,3.1148,0,1,1,0.2758,0,1,1,0,0
50,42209,469665,3,5,3.709,1,3,1,0.1614,3,1,0,0,0
45,35927,436194,3,3,4.047,0,6,5,0.0229,2,1,1,0,0
64,49579,41564,18,2,0.0466,0,3,3,0.3217,1,1,1,0,1
50,24032,424215,12,4,1.471,0,5,5,0.1446,0,1,1,0,1
22,108254,32748,18,3,0.0168,0,1,1,0.187,2,1,1,0,1
36,51460,62402,12,6,0.1011,1,8,8,0.1344,4,1,1,0,1
21,128528,164403,1,5,1.2791,1,3,3,0.0164,2,0,1,0,0
52,331944,392970,1,2,1.1838,0,0,0,0.346,4,1,1,0,0
34,84497,307524,6,9,0.6066,0,2,1,0.078,1,0,0,0,0
61,100757,451959,12,0,0.3738,0,6,6,0.1112,3,0,1,0,0
45,183748,185914,12,6,0.0843,0,9,8,0.1712,4,1,1,0,1
47,40714,362904,3,4,2.9712,1,8,6,0.1204,2,1,1,0,0
46,15101,100899,36,0,0.1856,0,5,4,0.1822,1,1,1,0,1
63,148624,458834,3,0,1.0291,0,3,1,0.1582,0,1,1,0,0
23,71627,353372,36,5,0.137,1,1,0,0.0593,2,1,1,0,1
52,94810,8986,18,3,0.0053,0,8,6,0.266,0,1,1,0,1
58,146086,386406,6,7,0.4408,0,7,5,0.0753,4,1,1,0,1
54,4071,341826,1,1,83.9661,1,6,6,0.3972,1,1,1,0,0
41,135321,117817,12,3,0.0726,1,1,0,0.1784,3,1,1,0,0
46,113621,305954,18,7,0.1496,1,1,1,0.173,2,1,1,0,1
63,71209,493351,6,7,1.1547,0,7,5,0.2545,1,1,1,0,0
48,11787,481104,3,4,13.6055,0,8,7,0.0637,1,1,1,0,0
52,76843,192116,6,2,0.4167,0,8,7,0.1812,3,1,1,0,1
50,58918,470725,18,3,0.4439,0,7,7,0.0845,4,1,1,0,1
38,147291,446849,1,2,3.0338,0,0,0,0.3163,3,1,1,0,0
49,5682,281645,3,1,16.5226,0,4,3,0.1501,3,1,1,1,0
40,94782,415082,24,3,0.1825,0,6,5,0.0532,3,1,1,0,1
50,93382,150462,3,8,0.5371,1,9,7,0.1114,0,1,1,0,1
20,125939,241139,1,5,1.9147,1,5,5,0.1295,2,1,1,0,0
35,222132,304400,36,3,0.0381,0,0,0,0.2292,3,0,0,0,0
42,366415,302672,3,0,0.2753,0,9,9,0.1556,2,1,1,0,1
59,122417,239286,18,6,0.1086,1,5,3,0.2377,3,1,0,0,0
48,15749,28712,36,1,0.0506,0,3,1,0.2147,4,1,1,0,0
20,32182,6694,3,5,0.0693,1,2,0,0.0786,4,1,1,0,0
57,104300,130201,12,9,0.104,1,3,1,0.1554,3,1,1,0,1
63,3146,187286,6,0,9.9219,0,7,7,0.0224,1,1,1,0,0
41,139474,348143,36,6,0.0693,0,5,4,0.1862,2,1,1,0,1
49,113869,415878,18,3,0.2029,0,8,8,0.123,4,1,1,0,1
64,160455,263154,1,2,1.64,0,4,3,0.0197,0,1,1,0,0
39,444446,431864,18,9,0.054,0,8,8,0.0743,1,0,1,0,1
40,132556,116098,12,6,0.073,1,3,3,0.0533,4,1,1,0,1
